1465	43
4891	43
10196	763 505 142
799	0 393 726
13538	66
2833	126 34
12857	17 38
8599	334 20
10454	332 43 438 17 38
8563	11
2001	81
12150	590 579 26
12748	28
1481	87 88
359	15 17 18
10486	138 823
4074	32 692
4144	118
12390	24 248
7533	118 66 13 86
7468	32 35
14628	36 316
5304	135 219 255
10889	227
13772	17 38
4676	24
11438	61
6904	155 9 8
5578	135 411
3373	181
8235	120 103
3139	365 231 126 34 268 446 621 170
10366	107 26
2613	139
40	126
8937	25 26
9573	103 300 104 130
2347	17 38
9985	323 9 61
7151	415 136 64
11550	238 17 18 386
11553	12 13 10
14902	578 26 145 103 111 146
1422	622 148 197 73
12585	135 255
2242	12
10643	427
4471	593
2036	120
13239	20
2723	17 38
4961	365 231 620 126 34 268 621 170
1751	53 163
5087	79
9409	676 677 17 38
3895	128 127 10
3454	453 43
10298	183 272
10799	24 86
692	25
618	88 377
9972	290 135 615
7994	66 118 12 13
10167	8 9
1776	32 34
3432	82 42 83 64 337
168	126 122 42 170
12520	124 52
4397	315 17 38
1248	365
2228	79
9917	275 11 128 130
11619	17 373 38 253
11173	32 34
3889	135
3515	114 702
462	366 42 23
5728	152 79
7788	248 830 14 421 891
371	107 26
1763	150 151 241
8169	24 25
13098	17 418 261 23
4346	11
3530	135
5083	351
7501	32 601 192
8443	26
6324	204 49
2218	17 38 202 579
1212	133 26
9336	211
8736	26
14343	17 257
13875	351
2520	66 118 12 13
2440	152
14598	629 14
5023	125
10710	732 29 59 43
11746	113
3557	38
1713	382 309 52
4184	61
14043	667 529 98
9513	98 293 11 61
6995	136 845
3268	107 305 26
4389	172 135 136
1920	17 459 38
5001	181 128
6242	120 103 127
10645	158 205
5534	205
5210	17 18
3947	24 803 26 132
10705	282
11920	453 17 267
4425	26
1644	66 49
8952	493 42 17 81
12173	5
5264	24 248 363 94 132
2728	658 794 111 10 103 659 26 76
12870	107 26
13464	223
11023	21 17 277 23
1587	195 17 38
3675	17
9920	282
5801	56
5606	124 500 52
12549	32
4429	11 143
4448	54
579	13 12
2926	66
4585	135
5427	81
1755	152 79
12380	26
10455	365 231 126 34 268 662 446 621 170
8683	88
14151	238 389 239 577 214 258 17
3721	32 35
4194	772 6 4
9276	9 8
947	365 99
10453	246 5
3735	105
6785	27 28 30
14114	124 800 52
7862	114 702
5887	125 17 38
4036	595
2106	53 646
7926	163 450 26
4401	366 224 23
1484	9 513 61
1477	137 66 13 112
9187	250 229
4663	135 411
7583	156 108
13241	319 95
7208	460 165 476
6006	53
9315	118
23	241 409
11948	11
9883	589 165 211
10648	53 421
13770	365 231 620 126 268 621
10191	151
3544	676 175 17 819 267
12111	329 213
14330	6 375 150
12065	28 96
13308	126 231 43
7499	550 40 42 163 151 172 135
5127	366 17 38
10375	6 83 64
9579	11 293 295 61
6411	103 10
11485	220
607	258 17 38
10123	111
8792	132 9 8
3188	71 270 132
8909	8 9 85
225	98
11571	577 17 239 38 268
3794	342
2358	124 52
14470	198
12933	258 17 239 259
9710	8
7464	261
2654	24 86
9536	53 180
4633	554 241
718	80 193 194 195
3857	6 290 135
5769	482 142
4840	15 18 405
7348	24 86
11374	126 34
12101	53
13013	71 189
1343	15 17 721 136 213
5746	429 77
9298	132 108 534 130
11831	103 123 104 604
3630	54
3891	521 50 107
14218	26
7991	53
11768	20
4783	68 254
598	81
7160	152
13047	25 181 43 395 26
4415	106 5
8733	71 189
12928	220
11669	85 26
12305	126 545 268 446
13119	54
4884	32 692
11298	38
4400	79
8354	26
11535	51 52
10488	315 17 459 38
5207	53 819 421 14
611	24 108 26
5011	32 117
3852	52 45
10691	453 26
2405	123 613 105
14770	142
11030	84 85 26
13665	43 107
64	240 241
12176	53 641 808
1497	26
13593	38
4073	126 34
1951	68 70 318
14342	198 153 265
14113	79
7051	17 267
8088	422
6353	11 225
6639	27 28 96 30
2566	102
3875	356 102
8247	490 79
10323	61
4001	43 437
6800	54
3157	17 38 758
8991	422
2402	83 64
4498	367
2586	66 284
7556	42
8710	414
12529	124 256 52
14156	6 541
14592	204 66 49
5685	105
8132	103
